epoch,train_loss,val_loss,avg_bpm_error,avg_steps_error
1,0.33331817388534546,0.48701056838035583,11.683588326865124,307.94285907786104
2,0.3050413429737091,0.48699188232421875,11.680797918114687,307.91845880692745
3,0.31411486864089966,0.48699942231178284,11.678314143304679,307.91857680371675
4,0.33247047662734985,0.4869503378868103,11.675089041599676,307.92021131282365
5,0.331179678440094,0.48688480257987976,11.6714044976138,308.0036967798779
6,0.316593736410141,0.48678168654441833,11.667215835701453,307.99710104110443
7,0.31089743971824646,0.48670968413352966,11.663339490420597,307.9589102025258
8,0.3107775151729584,0.48668232560157776,11.659947470386891,307.90166956557505
9,0.3051872253417969,0.4866468906402588,11.656432650171968,307.86092828330857
10,0.31388238072395325,0.4866138696670532,11.653089751806455,307.8608448853868
11,0.2976209819316864,0.4866129755973816,11.652823689567485,307.85967857672074
12,0.2994890809059143,0.4866074323654175,11.652421947843623,307.8591639439234
13,0.33036449551582336,0.486601322889328,11.652005478794582,307.8605929335031
14,0.30727049708366394,0.4865957796573639,11.651596695041661,307.8604836596856
15,0.3095053434371948,0.4865949749946594,11.651259709866245,307.86662233276775
16,0.30775678157806396,0.4865943193435669,11.6509313075689,307.87125497462256
17,0.33566272258758545,0.4865913689136505,11.65056428331755,307.87530996189923
18,0.2984435558319092,0.48658934235572815,11.650230814668753,307.87634959588405
19,0.3152141571044922,0.48658204078674316,11.649803229565919,307.8744995594993
20,0.3097297251224518,0.48657530546188354,11.649344905273232,307.876185414678
21,0.3202231228351593,0.4865747094154358,11.64930687672063,307.87689307985426
22,0.29837554693222046,0.48657405376434326,11.649264561715562,307.8771766327884
23,0.3202332556247711,0.486573189496994,11.64922191759711,307.87756702522216
24,0.29946115612983704,0.48657214641571045,11.649176660517872,307.8782365527542
25,0.3133537471294403,0.486571341753006,11.649132679002317,307.879314594863
26,0.2849653959274292,0.4865705668926239,11.649084158714032,307.8803177591621
27,0.30292120575904846,0.48656970262527466,11.649039894958818,307.88141270625505
28,0.2958837151527405,0.48656898736953735,11.648999112824256,307.88333338293353
29,0.30768096446990967,0.4865679144859314,11.648949943285029,307.88410154541305
30,0.3113664388656616,0.4865667521953583,11.648903915282627,307.88477720381934
