epoch,train_loss,val_loss,avg_bpm_error,avg_steps_error
1,0.6891099039246055,0.6260847330093384,8.25657661258656,361.700383993359
2,0.6461465797003578,0.6287197845322745,8.286400726636057,360.7070753115147
3,0.642836307778078,0.6257420216287886,8.250198834715963,363.8094889619652
4,0.6339983688850029,0.6183267746652875,8.115746994462429,360.5209679920254
5,0.6358415309120627,0.6078590835843768,7.9890669685290145,360.68322801206995
6,0.630593805920844,0.614648289339883,8.064700895688004,363.6224792650681
7,0.6288905558632869,0.610091290303639,8.033909764193284,361.28350542116146
8,0.6293180865399978,0.6085281320980617,8.00789413293444,358.1593789659833
9,0.6253128776363298,0.6104710493768964,8.000661536458619,368.5049552775963
10,0.6227543260536942,0.6119896871703011,8.04621064672446,359.7543163303841
11,0.6240822941649193,0.6173174977302551,8.144334665160248,362.0618172569599
12,0.6248514763280457,0.6119676777294704,8.017571717715548,360.0638402401154
13,0.6207749019650852,0.6049122997692653,7.994086158970157,358.0191249160211
14,0.620106624621971,0.616162313733782,8.074867656618295,366.2854110045722
15,0.6224351274032219,0.617495230266026,8.129010099247791,358.07810797047057
16,0.6187601551121357,0.6110911931310381,8.003142110726435,362.4124691663113
17,0.6215511490316952,0.6216569713183812,8.177236272482805,367.10477227291267
18,0.6186579641173867,0.6124246205602374,8.041306044752936,359.6172356709892
19,0.6187207324832094,0.6124066165515355,8.052712397789133,360.9275908980097
20,0.6169311556161619,0.6178261433328901,8.056247446587404,369.32229258716615
21,0.6129561177655762,0.6135813661984035,8.030442421637211,358.93810252140315
22,0.6122199448884702,0.6111697512013572,8.003767773814678,358.9941408074001
23,0.6117667292847353,0.6116863914898464,8.053787149283,359.12745796033937
24,0.6125951526211757,0.608231064251491,7.975169174256281,359.6619157376025
25,0.6140582754331476,0.6089067050388881,7.986149507008013,360.00447151667146
26,0.61174990382849,0.6071075763021196,7.930734891490065,362.9738209037745
27,0.6107668800681245,0.6092791650976453,7.998930803949373,360.2671863402329
28,0.6108416523419175,0.6079342654773168,7.970500284060346,358.8007906787873
