user_id,best_val_loss,final_epoch,final_bpm_error,final_steps_error
5,0.28234153985977173,25,6.231629178281946,240.0609043980179
9,0.24061475694179535,16,7.834355127119544,701.6485732705953
10,0.2684068977832794,11,6.778761921884513,284.57047767844443
12,0.2987167239189148,30,5.764664773122505,745.2731519608141
13,0.18334348499774933,11,7.16674771231387,277.98871283140033
14,0.2768271267414093,30,8.52846767531428,426.57314943896534
15,0.22001051902770996,16,4.981952652087728,373.4965393664235
18,0.23412245512008667,29,8.7125770983332,171.47018968182726
19,0.2266879677772522,30,4.11394427028782,166.47734318383434
20,0.16214759647846222,11,3.270442409567425,406.8782053654054
25,0.21172790229320526,30,5.798371389183952,265.6095963696422
27,0.34154951572418213,11,7.025697741030552,300.6031407304159
28,0.24380142986774445,11,6.7725791023297965,339.0763206287957
29,0.154960036277771,12,6.087938732144077,380.85627938439865
31,0.4865667521953583,30,11.648903915282627,307.88477720381934
32,0.19434641301631927,30,5.063399455258447,377.27140581420724
33,0.31406787037849426,30,6.704546065601396,334.11625572967597
35,0.11786513030529022,11,5.956205415969238,317.5657065589946
