epoch,train,val,bpm,steps
1,0.09408622980117798,0.04165977089506771,2.955935825238579,295.0707389143996
2,0.06461726129055023,0.04300935879086378,2.998410183396315,296.70098054985016
3,0.08532053977251053,0.04420979221505596,3.0552678674091904,297.8580936505121
4,0.07344119250774384,0.04415265337671612,3.0398228108658043,298.24283488217554
5,0.06948864459991455,0.043686820327311936,3.0097662399062823,295.6887040478176
6,0.07087036967277527,0.043018910522094535,2.9811116522611307,293.61005562254843
7,0.06677338480949402,0.04237009150207694,2.944226405854676,292.2848124089702
8,0.10238094627857208,0.042247207449814354,2.9436623272278903,291.2389088026638
9,0.06353753805160522,0.042158787487595446,2.9436014816972595,290.56429115242986
10,0.07523688673973083,0.04200293146019595,2.9287930778073177,290.03493182364144
11,0.074088454246521,0.0419497042071941,2.929887417651762,288.86047991553204
