epoch,train,val,bpm,steps
1,0.16951484453271737,0.05462596203287677,2.992335287490521,218.49155512593916
2,0.09239285920153964,0.03596235314765947,2.3452224916198534,178.10283077962703
3,0.08666758991100572,0.03713766933422609,2.5220343801162315,149.58300376740388
4,0.0804782187058167,0.03201569749930042,2.376905560473441,135.38075922432313
5,0.07501042250713164,0.03450902427868518,2.5505810918858782,130.50577327409897
6,0.07610123733227903,0.03586694707433951,2.617788191767956,120.3398554107911
7,0.07487397962673144,0.03539618093374538,2.6139051522446377,114.26156906971418
8,0.07051678494634954,0.03704579777082079,2.687923278935034,113.2074404503551
9,0.07465327608991754,0.03916611210035924,2.7861195374384806,115.29981143505304
10,0.06764309921047905,0.032771617092356174,2.5113183311223484,114.1486829206127
11,0.0707635792649605,0.034710629351908544,2.5661864449640457,113.31244569530962
12,0.06609815680845217,0.037025376689233225,2.6673889028395155,106.610132483716
13,0.06873467852446166,0.03225735091218947,2.4135963062841923,111.65453694607281
14,0.06535765733569861,0.034686376901930376,2.5920633253649763,104.39912491238084
15,0.06395257293162021,0.033379527672099826,2.584001939236137,102.49263211691206
16,0.06148253213614226,0.03207864357686939,2.500404660741781,102.9602002703769
17,0.06115388822826472,0.03369202314175219,2.582105107393832,98.72443362409305
18,0.06011198356070302,0.033643537364344105,2.5567901181733754,106.53755608188862
19,0.06101089008152485,0.03582899398232647,2.6479779102143386,105.01852014989197
20,0.05942986758256501,0.03429300971437712,2.6009249418541804,100.91181155698465
21,0.05808843169361353,0.035999223087238956,2.681295953228233,96.49139719546692
22,0.056706388413228774,0.035442608542344815,2.6754038147345436,102.45790698058528
23,0.05717525522817265,0.03588964616122522,2.7036545510550107,103.84782947884246
24,0.05872425623238087,0.03651184278461482,2.6739872677652716,106.68684804799409
