epoch,train,val,bpm,steps
1,0.24885393679141998,0.24352230395221552,6.205507535962951,267.089617416384
2,0.2757837176322937,0.24499164515594463,6.22421797738756,266.85786442040137
3,0.2532433867454529,0.24658963600014333,6.253717594840176,266.9217683986091
4,0.2612614631652832,0.2479323224781941,6.282244526129948,267.1219377946903
5,0.2664306163787842,0.24919827606462852,6.311459206383914,267.33637041341035
6,0.255195289850235,0.25068813065408174,6.346030338462677,267.60543183426165
7,0.24839499592781067,0.2521855940295865,6.382796699812995,268.06737171761137
8,0.2506959140300751,0.25302916954891425,6.403872754317769,268.281743225596
9,0.2598477602005005,0.25375801069332665,6.422054655314188,268.41845547630504
10,0.24166902899742126,0.2543327426373509,6.436242446259588,268.62585298963876
11,0.2570969760417938,0.2549008862291403,6.4507833328308815,268.87083018865076
