epoch,train,val,bpm,steps
1,0.25500495731830597,0.2116641309913578,8.082040500303513,167.06765068031729
2,0.27054810523986816,0.2127751926691847,8.100121444979543,167.59529716782532
3,0.23613712191581726,0.21362907711935109,8.097352221449405,168.50084842809716
4,0.2651922255754471,0.21470927211837632,8.115639349669681,168.26202199487204
5,0.2952518165111542,0.21591502932854753,8.131961451673266,168.413622188917
6,0.28889980912208557,0.2169017201428051,8.15023668325853,168.6217170203782
7,0.3232829123735428,0.21760445409414647,8.170709659377696,168.67575202520422
8,0.3346877992153168,0.21811011120459176,8.188714603284692,168.50692407588667
9,0.3539467453956604,0.21845047242718246,8.194350195865908,168.5989830312277
10,0.22965845465660095,0.21871771768205095,8.20826655490813,168.29845404978948
11,0.2705349177122116,0.2199969018473572,8.24672458005356,168.30834563702075
